date,SPY,SHY,TLT,GLD,BTC-USD,IBIT
2004-11-18,79.54772186279297,53.600181579589844,43.484317779541016,44.380001068115234,,
2004-11-19,78.66341400146484,53.51487350463867,43.1373176574707,44.779998779296875,,
2004-11-22,79.03855895996094,53.52799987792969,43.362144470214844,44.95000076293945,,
2004-11-23,79.15917205810547,53.521453857421875,43.41591262817383,44.75,,
2004-11-24,79.34677124023438,53.51487350463867,43.41591262817383,45.04999923706055,,
2004-11-26,79.28644561767578,53.46239471435547,43.132423400878906,45.290000915527344,,
2004-11-29,78.9246826171875,53.46897888183594,42.67294692993164,45.400001525878906,,
2004-11-30,78.97827911376953,53.48213577270508,42.4921760559082,45.119998931884766,,
2004-12-01,79.87599182128906,53.51823043823242,42.42592239379883,45.380001068115234,,
2004-12-02,79.9429931640625,53.4985237121582,42.254127502441406,44.95000076293945,,
2004-12-03,79.88939666748047,53.6168098449707,42.911746978759766,45.599998474121094,,
2004-12-06,79.86260986328125,53.62339782714844,43.058998107910156,45.16999816894531,,
2004-12-07,79.11898803710938,53.62339782714844,43.11294174194336,45.11000061035156,,
2004-12-08,79.58123779296875,53.643062591552734,43.7852783203125,44.0099983215332,,
2004-12-09,79.86260986328125,53.63653564453125,43.495784759521484,43.779998779296875,,
2004-12-10,79.9429931640625,53.643062591552734,43.603729248046875,43.439998626708984,,
2004-12-13,80.63975524902344,53.60367202758789,43.69696807861328,43.90999984741211,,
2004-12-14,80.92108917236328,53.6168098449707,43.86870574951172,43.54999923706055,,
2004-12-15,80.98136901855469,53.66935348510742,44.266197204589844,43.9900016784668,,
2004-12-16,80.93447875976562,53.61024856567383,43.61353302001953,43.68000030517578,,
2004-12-17,80.3946533203125,53.590545654296875,43.554649353027344,44.189998626708984,,
2004-12-20,80.41487884521484,53.590545654296875,43.6331672668457,44.34000015258789,,
2004-12-21,81.0340805053711,53.597076416015625,43.765647888183594,44.220001220703125,,
2004-12-22,81.22930908203125,53.597076416015625,43.61842346191406,44.02000045776367,,
2004-12-23,81.28987884521484,53.58392333984375,43.47611618041992,44.27000045776367,,
2004-12-27,81.12161254882812,53.551116943359375,43.137508392333984,44.47999954223633,,
2004-12-28,81.56584930419922,53.570796966552734,43.103145599365234,44.369998931884766,,
2004-12-29,81.68701171875,53.564247131347656,43.058998107910156,43.65999984741211,,
2004-12-30,81.5322036743164,53.58392333984375,43.348541259765625,43.83000183105469,,
2004-12-31,81.35716247558594,53.6063346862793,43.62189865112305,43.79999923706055,,
2005-01-03,80.97354888916016,53.61289596557617,43.715545654296875,43.02000045776367,,
2005-01-04,79.98408508300781,53.49440383911133,43.25737380981445,42.7400016784668,,
2005-01-05,79.43214416503906,53.5075798034668,43.48894119262695,42.66999816894531,,
2005-01-06,79.83599090576172,53.533931732177734,43.51847457885742,42.150001525878906,,
2005-01-07,79.7215805053711,53.54044723510742,43.617000579833984,41.84000015258789,,
2005-01-10,80.09852600097656,53.5075798034668,43.68599319458008,41.95000076293945,,
2005-01-11,79.54658508300781,53.520721435546875,43.94214630126953,42.209999084472656,,
2005-01-12,79.80908966064453,53.52735900878906,44.00127410888672,42.599998474121094,,
2005-01-13,79.16963195800781,53.59317398071289,44.424949645996094,42.599998474121094,,
2005-01-14,79.58695983886719,53.56681442260742,44.41996765136719,42.31999969482422,,
2005-01-18,80.41487884521484,53.547119140625,44.567752838134766,42.31999969482422,,
2005-01-19,79.57352447509766,53.55363845825195,44.695884704589844,42.2599983215332,,
2005-01-20,79.08887481689453,53.599735260009766,44.78451156616211,42.25,,
2005-01-21,78.60420989990234,53.65240478515625,44.833797454833984,42.7400016784668,,
2005-01-24,78.44942474365234,53.61945724487305,45.02592849731445,42.77000045776367,,
2005-01-25,78.67156982421875,53.599735260009766,44.602272033691406,42.2400016784668,,
2005-01-26,78.9071273803711,53.57998275756836,44.68600845336914,42.689998626708984,,
2005-01-27,79.0417251586914,53.56681442260742,44.602272033691406,42.619998931884766,,
2005-01-28,79.0417251586914,53.59317398071289,45.05050277709961,42.689998626708984,,
2005-01-31,79.53311920166016,53.58660125732422,45.178619384765625,42.220001220703125,,
2005-02-01,80.0379409790039,53.60039520263672,45.10691452026367,42.099998474121094,,
2005-02-02,80.28022766113281,53.58061218261719,45.210784912109375,42.15999984741211,,
2005-02-03,80.07158660888672,53.54765701293945,45.18604278564453,41.68000030517578,,
2005-02-04,80.92642211914062,53.60039520263672,45.81401824951172,41.470001220703125,,
2005-02-07,80.81871032714844,53.58723068237305,46.15525817871094,41.27000045776367,,
2005-02-08,80.9129867553711,53.56743240356445,46.417293548583984,41.2599983215332,,
2005-02-09,80.3071517944336,53.66636657714844,46.54093933105469,41.310001373291016,,
2005-02-10,80.59654998779297,53.626800537109375,45.91294860839844,41.75,,
2005-02-11,81.28987884521484,53.60039520263672,45.88327407836914,42.08000183105469,,
2005-02-14,81.22930908203125,53.574066162109375,46.02665328979492,42.54999923706055,,
2005-02-15,81.5322036743164,53.58061218261719,45.79423141479492,42.58000183105469,,
2005-02-16,81.58605194091797,53.5542106628418,45.62120819091797,42.52000045776367,,
2005-02-17,80.92642211914062,53.58061218261719,45.33440017700195,42.72999954223633,,
2005-02-18,81.0340805053711,53.508056640625,44.928897857666016,42.75,,
2005-02-22,79.82925415039062,53.52783966064453,44.73112487792969,43.56999969482422,,
2005-02-23,80.40140533447266,53.52131652832031,44.879432678222656,43.41999816894531,,
2005-02-24,80.93313598632812,53.508056640625,44.78055191040039,43.33000183105469,,
2005-02-25,81.734130859375,53.48165512084961,44.99812316894531,43.5,,
2005-02-28,81.19566345214844,53.44867706298828,44.513545989990234,43.529998779296875,,
2005-03-01,81.59947967529297,53.437435150146484,44.499671936035156,43.220001220703125,,
2005-03-02,81.55914306640625,53.47053909301758,44.440101623535156,43.25,,
2005-03-03,81.59276580810547,53.49033737182617,44.41535186767578,42.970001220703125,,
2005-03-04,82.6091537475586,53.49033737182617,44.896484375,43.380001068115234,,
2005-03-07,82.6495132446289,53.47053909301758,45.075077056884766,43.470001220703125,,
2005-03-08,82.33992767333984,53.47053909301758,44.648468017578125,44.029998779296875,,
2005-03-09,81.42449188232422,53.45073699951172,43.91929244995117,44.02000045776367,,
2005-03-10,81.60626220703125,53.410972595214844,44.187103271484375,44.20000076293945,,
2005-03-11,81.0340805053711,53.39779281616211,43.864749908447266,44.43000030517578,,
2005-03-14,81.53890228271484,53.377967834472656,44.12761688232422,44.029998779296875,,
2005-03-15,80.8658447265625,53.35814666748047,43.84981918334961,44.060001373291016,,
2005-03-16,80.17927551269531,53.42424011230469,44.117733001708984,44.310001373291016,,
2005-03-17,80.3408203125,53.4440803527832,44.26157760620117,43.81999969482422,,
2005-03-18,80.10228729248047,53.41764450073242,43.98377227783203,43.88999938964844,,
2005-03-21,79.804931640625,53.45073699951172,43.85976028442383,43.09000015258789,,
2005-03-22,78.99405670166016,53.35814666748047,43.487728118896484,42.650001525878906,,
2005-03-23,79.0616455078125,53.35150909423828,43.696075439453125,42.41999816894531,,
2005-03-24,79.15625,53.364715576171875,43.78536605834961,42.38999938964844,,
2005-03-28,79.27113342285156,53.33829879760742,43.51747131347656,42.540000915527344,,
2005-03-29,78.7440414428711,53.377967834472656,43.77544021606445,42.560001373291016,,
2005-03-30,79.85899353027344,53.38460159301758,43.993709564208984,42.61000061035156,,
2005-03-31,79.71033477783203,53.45731735229492,44.3111686706543,42.81999969482422,,
2005-04-01,79.35220336914062,53.490379333496094,44.460533142089844,42.619998931884766,,
2005-04-04,79.48731994628906,53.490379333496094,44.45058822631836,42.400001525878906,,
2005-04-05,79.86579895019531,53.50367736816406,44.33607482910156,42.45000076293945,,
2005-04-06,80.1427993774414,53.543453216552734,44.49039840698242,42.630001068115234,,
2005-04-07,80.57530212402344,53.523536682128906,44.13190841674805,42.56999969482422,,
2005-04-08,79.73738098144531,53.51688003540039,44.28627395629883,42.689998626708984,,
2005-04-11,79.79821014404297,53.51688003540039,44.52528381347656,42.779998779296875,,
2005-04-12,80.21041870117188,53.5500373840332,44.938514709472656,42.84000015258789,,
2005-04-13,79.26435852050781,53.62959289550781,44.82896041870117,42.900001525878906,,
2005-04-14,78.23046112060547,53.675933837890625,44.759246826171875,42.310001373291016,,
2005-04-15,77.13577270507812,53.762088775634766,45.351749420166016,42.400001525878906,,
2005-04-18,77.372314453125,53.73552322387695,45.31689453125,42.689998626708984,,
2005-04-19,77.98722076416016,53.80183029174805,45.7550048828125,43.279998779296875,,
2005-04-20,76.89926147460938,53.781951904296875,45.640499114990234,43.400001525878906,,
2005-04-21,78.39269256591797,53.6891975402832,45.16257095336914,43.189998626708984,,
2005-04-22,78.0953140258789,53.70245361328125,45.54093933105469,43.38999938964844,,
2005-04-25,78.60892486572266,53.71567153930664,45.675357818603516,43.439998626708984,,
